sna,tot,lat,lng,流量,路徑
捷運劍潭站(2號出口),63,25.08288,121.52455,464,05-28表格/捷運劍潭站(2號出口).jpg
劍潭基河路口,20,25.08403,121.5249,109,05-28表格/劍潭基河路口.jpg
志成公園,15,25.09667,121.53206,67,05-28表格/志成公園.jpg
福林國小,14,25.09896,121.53025,60,05-28表格/福林國小.jpg
中山中正路口,19,25.09651,121.52753,115,05-28表格/中山中正路口.jpg
士林運動中心,27,25.08911,121.52154,201,05-28表格/士林運動中心.jpg
陽明高中,36,25.09164,121.51706,47,05-28表格/陽明高中.jpg
兒童新樂園,23,25.09631,121.51449,52,05-28表格/兒童新樂園.jpg
臺北市立天文館,31,25.09598,121.51776,101,05-28表格/臺北市立天文館.jpg
華聲公園,27,25.09619,121.5223,90,05-28表格/華聲公園.jpg
福林公園,17,25.09419,121.52833,0,05-28表格/福林公園.jpg
捷運士林站(2號出口),31,25.09343,121.52642,316,05-28表格/捷運士林站(2號出口).jpg
銘傳大學,30,25.08771,121.52677,76,05-28表格/銘傳大學.jpg
士林高商,26,25.09435,121.51702,78,05-28表格/士林高商.jpg
蘭雅公園,29,25.10991,121.53039,216,05-28表格/蘭雅公園.jpg
聯合醫院陽明院區,15,25.10455,121.53195,26,05-28表格/聯合醫院陽明院區.jpg
捷運芝山站(1號出口),36,25.10225,121.52286,420,05-28表格/捷運芝山站(1號出口).jpg
至誠公園,15,25.10143,121.53585,30,05-28表格/至誠公園.jpg
原住民文化主題公園,21,25.10113,121.55159,29,05-28表格/原住民文化主題公園.jpg
通河東街2段10巷口,15,25.09106,121.51502,36,05-28表格/通河東街2段10巷口.jpg
梅林新村,15,25.09755,121.54036,33,05-28表格/梅林新村.jpg
延平北中正路口,30,25.08678,121.50948,73,05-28表格/延平北中正路口.jpg
重慶北路四段190巷口,13,25.08505,121.51166,29,05-28表格/重慶北路四段190巷口.jpg
重慶北葫東街口,15,25.08393,121.51169,13,05-28表格/重慶北葫東街口.jpg
葫蘆國小,20,25.08254,121.5075,61,05-28表格/葫蘆國小.jpg
士林3號廣場,30,25.10459,121.52417,179,05-28表格/士林3號廣場.jpg
社正公園,15,25.08824,121.51054,72,05-28表格/社正公園.jpg
社子國小,15,25.09058,121.50142,62,05-28表格/社子國小.jpg
社中街384巷口,18,25.09346,121.50376,52,05-28表格/社中街384巷口.jpg
忠誠路一段138號,15,25.10641,121.52944,46,05-28表格/忠誠路一段138號.jpg
社子公園,14,25.0902,121.50622,66,05-28表格/社子公園.jpg
國立故宮博物院,17,25.09833,121.54788,23,05-28表格/國立故宮博物院.jpg
泰北高中,12,25.09763,121.53402,26,05-28表格/泰北高中.jpg
後港公園,15,25.09312,121.51419,16,05-28表格/後港公園.jpg
重慶北路四段117號,18,25.08279,121.51219,38,05-28表格/重慶北路四段117號.jpg
社子島島頭公園,15,25.10893,121.46639,95,05-28表格/社子島島頭公園.jpg
延平北路八段133巷口,15,25.10304,121.48297,21,05-28表格/延平北路八段133巷口.jpg
坤天亭,14,25.1064,121.4836,13,05-28表格/坤天亭.jpg
社子島濕地解說小築,15,25.11314,121.48974,37,05-28表格/社子島濕地解說小築.jpg
福安國中,11,25.10261,121.48819,11,05-28表格/福安國中.jpg
福安消防分隊,15,25.09669,121.49706,45,05-28表格/福安消防分隊.jpg
聖山綠地,15,25.10696,121.53234,158,05-28表格/聖山綠地.jpg
芝山國小,14,25.11044,121.53595,109,05-28表格/芝山國小.jpg
士林新天地,19,25.08899,121.51751,129,05-28表格/士林新天地.jpg
蘭雅國小,11,25.10775,121.52312,80,05-28表格/蘭雅國小.jpg
中正基河路口,28,25.0933,121.51962,120,05-28表格/中正基河路口.jpg
福林公園(中正路),27,25.09609,121.53006,74,05-28表格/福林公園(中正路).jpg
至善臨溪路口,22,25.09709,121.54229,56,05-28表格/至善臨溪路口.jpg
市立圖書館葫蘆堵分館,10,25.08217,121.51074,46,05-28表格/市立圖書館葫蘆堵分館.jpg
東山路110巷口,16,25.11306,121.53945,39,05-28表格/東山路110巷口.jpg
永平社會住宅,15,25.08887,121.50314,15,05-28表格/永平社會住宅.jpg
雨農橋,16,25.10012,121.53253,75,05-28表格/雨農橋.jpg
通河街76巷/承德路四段10巷口,14,25.08019,121.5202,119,05-28表格/通河街76巷/承德路四段10巷口.jpg
芝山聖佑宮,15,25.10455,121.53025,20,05-28表格/芝山聖佑宮.jpg
至誠雨聲街口,10,25.10199,121.52927,61,05-28表格/至誠雨聲街口.jpg
捷運線型公園(後街),13,25.09812,121.52449,129,05-28表格/捷運線型公園(後街).jpg
天母公園,12,25.12408,121.53003,44,05-28表格/天母公園.jpg
基河文林路口,16,25.08637,121.5247,90,05-28表格/基河文林路口.jpg
文林福華路口,19,25.10094,121.52243,78,05-28表格/文林福華路口.jpg
劍潭海外青年活動中心_1,10,25.0796,121.5237,54,05-28表格/劍潭海外青年活動中心_1.jpg
社子國小_1,20,25.09029,121.50189,46,05-28表格/社子國小_1.jpg
捷運劍潭站(1號出口),70,25.08577,121.52531,107,05-28表格/捷運劍潭站(1號出口).jpg
德行東山路口,12,25.1107,121.53999,34,05-28表格/德行東山路口.jpg
重慶北通河西街口,12,25.08756,121.51177,17,05-28表格/重慶北通河西街口.jpg
葫蘆國小(延平北路五段285巷),15,25.08406,121.5067,33,05-28表格/葫蘆國小(延平北路五段285巷).jpg
社子市場,11,25.0881,121.50873,30,05-28表格/社子市場.jpg
士林區農會社子分部,8,25.08912,121.5049,25,05-28表格/士林區農會社子分部.jpg
承德劍潭路口,20,25.0841,121.52341,95,05-28表格/承德劍潭路口.jpg
文林路101巷口,12,25.08761,121.52608,22,05-28表格/文林路101巷口.jpg
延平北路五段257巷15弄口,13,25.08408,121.50959,42,05-28表格/延平北路五段257巷15弄口.jpg
延平北路五段257巷4弄口,15,25.08471,121.5089,14,05-28表格/延平北路五段257巷4弄口.jpg
啟明學校,16,25.11742,121.53472,54,05-28表格/啟明學校.jpg
台北花木批發市場,15,25.00402,121.54074,152,05-28表格/台北花木批發市場.jpg
捷運萬隆站(4號出口),21,25.0027,121.53861,134,05-28表格/捷運萬隆站(4號出口).jpg
捷運萬隆站(1號出口),26,25.00115,121.53916,110,05-28表格/捷運萬隆站(1號出口).jpg
萬和二號公園,18,25.00154,121.5364,139,05-28表格/萬和二號公園.jpg
捷運萬隆站(2號出口),12,25.00144,121.53983,163,05-28表格/捷運萬隆站(2號出口).jpg
景仁公園,16,24.99621,121.54043,157,05-28表格/景仁公園.jpg
捷運景美站(2號出口),31,24.99366,121.54124,289,05-28表格/捷運景美站(2號出口).jpg
羅斯福景隆街口,20,24.99898,121.5403,57,05-28表格/羅斯福景隆街口.jpg
景福街/羅斯福路6段142巷口,28,24.99812,121.53663,0,05-28表格/景福街/羅斯福路6段142巷口.jpg
興旺公園,30,25.00587,121.55012,42,05-28表格/興旺公園.jpg
